1,73, High school graduate, Widowed, Female, Nonfiler,20401.08,2596.41 Not in universe, United-States, Native- Born in the United States,0
34,84, High school graduate, Married-civilian spouse present, Female, Joint both 65+,41936.64,5363.00 Not in universe, United-States, Native- Born in the United States,0
35,32, High school graduate, Never married, Female, Head of household,13563.00,1371.95 Not in universe, United-States, Native- Born in the United States,52
36,52, High school graduate, Married-civilian spouse present, Female, Joint both under 65,16888.68,1688.87 Not in universe, United-States, Native- Born in the United States,0
37,35, High school graduate, Married-civilian spouse present, Female, Joint both under 65,20033.64,2077.55 Not in universe, United-States, Native- Born in the United States,0
38,66, Some college but no degree, Married-civilian spouse present, Male, Joint both 65+,14549.76,1454.98 Not in universe, United-States, Native- Born in the United States,52
39,47, High school graduate, Married-civilian spouse present, Male, Joint both under 65,44948.52,5814.78 Not in universe, United-States, Native- Born in the United States,0
40,36, High school graduate, Married-civilian spouse present, Male, Joint both under 65,21744.00,2334.10 Not in universe, United-States, Native- Born in the United States,48
41,37, High school graduate, Married-civilian spouse present, Male, Joint both under 65,12332.16,1233.22 Not in universe, United-States, Native- Born in the United States,52
42,42, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,31630.68,3817.10 Not in universe, United-States, Native- Born in the United States,52
43,42, High school graduate, Married-civilian spouse present, Female, Joint both under 65,15517.44,1551.74 Not in universe, United-States, Native- Born in the United States,0
44,72, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both 65+,22099.80,2387.47 Not in universe, United-States, Native- Born in the United States,0
45,42, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,11389.44,1138.94 Not in universe, United-States, Native- Born in the United States,52
46,61, High school graduate, Separated, Female, Single,10436.04,1101.66 Not in universe, United-States, Native- Born in the United States,9
47,41, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,13142.52,1314.25 Not in universe, United-States, Native- Born in the United States,24
48,90, 7th and 8th grade, Widowed, Female, Nonfiler,43996.68,6770.42 Not in universe, United-States, Native- Born in the United States,0
49,39, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,15865.20,1586.52 Not in universe, United-States, Native- Born in the United States,52
50,49, Bachelors degree(BA AB BS), Divorced, Female, Single,11357.64,1239.90 Not in universe, United-States, Native- Born in the United States,50
51,25, High school graduate, Married-spouse absent, Male, Single,42055.92,6285.23 Not in universe, United-States, Native- Born in the United States,10
52,47, 12th grade no diploma, Married-civilian spouse present, Male, Joint both under 65,15298.08,1529.81 Not in universe, United-States, Native- Born in the United States,52
53,36, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,9257.52,925.75 Not in universe, United-States, Native- Born in the United States,52
54,33, Associates degree-occup /vocational, Separated, Male, Single,22370.16,2891.77 Not in universe, United-States, Native- Born in the United States,52
55,27, Bachelors degree(BA AB BS), Never married, Male, Single,28078.68,3748.05 Not in universe, United-States, Native- Born in the United States,52
56,57, 7th and 8th grade, Married-civilian spouse present, Female, Joint both under 65,13603.80,1360.38 Not in universe, Cuba, Foreign born- Not a citizen of U S ,0
57,50, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,29861.76,3551.76 Not in universe, Philippines, Foreign born- U S citizen by naturalization,52
58,51, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,12724.32,1272.43 Not in universe, United-States, Native- Born in the United States,52
59,48, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,3486.60,348.66 Not in universe, United-States, Native- Born in the United States,52
60,27, Some college but no degree, Never married, Male, Single,3561.84,356.18 Not in universe, United-States, Native- Born in the United States,52
61,24, High school graduate, Married-civilian spouse present, Male, Joint both under 65,12334.56,1233.46 Not in universe, United-States, Native- Born in the United States,52
62,17, 7th and 8th grade, Never married, Male, Nonfiler,20515.32,2613.55 Both parents present, United-States, Native- Born in the United States,0
63,58, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Female, Joint both under 65,23796.96,2642.04 Not in universe, United-States, Native- Born in the United States,52
64,53, 10th grade, Married-civilian spouse present, Male, Joint both under 65,20583.36,2160.00 Not in universe, United-States, Native- Born in the United States,45
65,33, Bachelors degree(BA AB BS), Never married, Female, Single,16734.00,2046.35 Not in universe, United-States, Native- Born in the United States,52
66,40, 5th or 6th grade, Married-civilian spouse present, Female, Joint both under 65,15190.92,1519.09 Not in universe, Mexico, Foreign born- Not a citizen of U S ,43
67,25, High school graduate, Never married, Female, Head of household,9182.28,918.23 Not in universe, United-States, Native- Born in the United States,4
68,54, High school graduate, Married-civilian spouse present, Male, Nonfiler,36475.20,5007.53 Not in universe, Vietnam, Foreign born- Not a citizen of U S ,0
69,22, High school graduate, Married-civilian spouse present, Female, Joint both under 65,14092.08,1409.21 Not in universe, United-States, Native- Born in the United States,52
70,29, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,34817.04,4295.06 Not in universe, United-States, Native- Born in the United States,52
71,85, High school graduate, Never married, Female, Single,16072.44,1947.12 Not in universe, ?, Foreign born- U S citizen by naturalization,0
72,40, High school graduate, Married-civilian spouse present, Male, Joint both under 65,35008.80,4323.82 Not in universe, United-States, Native- Born in the United States,52
73,38, Less than 1st grade, Never married, Female, Nonfiler,26925.24,3575.04 Not in universe, United-States, Native- Born in the United States,0
74,49, 11th grade, Married-civilian spouse present, Male, Joint both under 65,11505.60,1150.56 Not in universe, United-States, Native- Born in the United States,52
75,76, Doctorate degree(PhD EdD), Married-civilian spouse present, Male, Joint both 65+,22771.68,2488.25 Not in universe, United-States, Native- Born in the United States,26
76,21, Some college but no degree, Never married, Male, Single,11953.92,1329.34 Not in universe, United-States, Native- Born in the United States,52
77,52, 7th and 8th grade, Married-civilian spouse present, Male, Joint both under 65,31611.72,3814.26 Not in universe, United-States, Native- Born in the United States,0
78,34, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,13829.64,1382.96 Not in universe, United-States, Native- Born in the United States,40
79,31, 11th grade, Married-civilian spouse present, Female, Joint both under 65,7642.20,764.22 Not in universe, United-States, Native- Born in the United States,50
80,74, High school graduate, Married-civilian spouse present, Male, Joint both 65+,32769.24,3987.89 Not in universe, United-States, Native- Born in the United States,0
81,19, Some college but no degree, Never married, Female, Nonfiler,25769.88,3401.73 Not in universe, United-States, Native- Born in the United States,4
82,15, 7th and 8th grade, Never married, Female, Nonfiler,2590.08,259.01 Both parents present, United-States, Native- Born in the United States,0
83,24, Bachelors degree(BA AB BS), Never married, Male, Nonfiler,14501.76,1711.51 Not in universe, United-States, Native- Born in the United States,0
84,43, Some college but no degree, Never married, Female, Single,13245.48,1523.07 Not in universe, United-States, Native- Born in the United States,52
85,72, 11th grade, Married-civilian spouse present, Male, Nonfiler,6885.48,688.55 Not in universe, United-States, Native- Born in the United States,0
86,68, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both 65+,18192.60,1819.26 Not in universe, United-States, Native- Born in the United States,0
87,39, 9th grade, Married-civilian spouse present, Male, Joint both under 65,15389.88,1538.99 Not in universe, Dominican-Republic, Foreign born- U S citizen by naturalization,52
88,36, High school graduate, Married-civilian spouse present, Female, Joint both under 65,32400.96,3932.64 Not in universe, United-States, Native- Born in the United States,52
89,38, 1st 2nd 3rd or 4th grade, Never married, Female, Head of household,3265.68,326.57 Not in universe, El-Salvador, Foreign born- U S citizen by naturalization,20
90,71, Some college but no degree, Married-civilian spouse present, Male, Joint both 65+,26071.68,2983.25 Not in universe, United-States, Native- Born in the United States,0
91,49, High school graduate, Divorced, Male, Single,9645.24,983.04 Not in universe, United-States, Native- Born in the United States,52
92,45, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Female, Joint both under 65,41974.32,5368.65 Not in universe, Canada, Foreign born- U S citizen by naturalization,52
93,33, Associates degree-academic program, Never married, Male, Single,25408.56,3347.53 Not in universe, Scotland, Foreign born- Not a citizen of U S ,52
94,15, 10th grade, Never married, Male, Single,27462.00,3655.55 Both parents present, United-States, Native- Born in the United States,6
95,62, High school graduate, Widowed, Female, Single,4314.12,431.41 Not in universe, United-States, Native- Born in the United States,52
96,18, Some college but no degree, Never married, Female, Nonfiler,20171.40,2561.96 Not in universe, United-States, Native- Born in the United States,12
97,23, Bachelors degree(BA AB BS), Never married, Female, Single,21395.16,2745.52 Not in universe, United-States, Native- Born in the United States,52
98,21, Some college but no degree, Never married, Male, Nonfiler,23874.12,3117.37 Not in universe, ?, Foreign born- Not a citizen of U S ,0
99,36, High school graduate, Married-civilian spouse present, Male, Joint both under 65,35295.36,4366.80 Not in universe, United-States, Native- Born in the United States,52
100,28, 11th grade, Divorced, Male, Single,44559.48,6911.12 Not in universe, United-States, Native- Born in the United States,52
101,84, High school graduate, Divorced, Female, Single,33413.64,4548.30 Not in universe, United-States, Native- Born in the United States,0
102,69, 10th grade, Divorced, Male, Single,26122.32,3454.60 Not in universe, United-States, Native- Born in the United States,0
103,58, High school graduate, Married-civilian spouse present, Female, Joint one under 65 & one 65+,18938.40,1913.26 Not in universe, United-States, Native- Born in the United States,52
104,38, High school graduate, Divorced, Female, Nonfiler,20414.88,2598.48 Not in universe, United-States, Native- Born in the United States,0
105,75, Prof school degree (MD DDS DVM LLB JD), Widowed, Female, Single,40711.32,5949.08 Not in universe, United-States, Native- Born in the United States,0
106,27, 9th grade, Married-civilian spouse present, Female, Joint both under 65,19441.44,1988.72 Not in universe, United-States, Native- Born in the United States,0
107,25, High school graduate, Never married, Male, Nonfiler,17128.92,2105.59 Not in universe, United-States, Native- Born in the United States,0
108,48, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Male, Joint both under 65,36380.88,4529.63 Not in universe, United-States, Native- Born in the United States,49
109,44, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,20550.72,2155.11 Not in universe, United-States, Native- Born in the United States,51
110,17, 11th grade, Never married, Female, Nonfiler,43908.36,6748.34 Both parents present, Portugal, Native- Born abroad of American Parent(s),0
111,45, Some college but no degree, Divorced, Female, Head of household,5668.32,566.83 Not in universe, Mexico, Native- Born abroad of American Parent(s),52
112,25, Some college but no degree, Never married, Male, Nonfiler,22355.28,2889.54 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
113,54, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,16282.80,1628.28 Not in universe, United-States, Native- Born in the United States,52
114,30, High school graduate, Married-civilian spouse present, Female, Joint both under 65,25340.52,2873.58 Not in universe, Mexico, Foreign born- U S citizen by naturalization,52
115,23, Associates degree-occup /vocational, Married-A F spouse present, Female, Joint both under 65,3161.40,316.14 Not in universe, United-States, Native- Born in the United States,48
116,37, High school graduate, Married-civilian spouse present, Male, Joint both under 65,20554.20,2155.63 Not in universe, United-States, Native- Born in the United States,52
117,59, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,13712.76,1371.28 Not in universe, United-States, Native- Born in the United States,52
118,45, Bachelors degree(BA AB BS), Never married, Male, Single,47479.68,7641.17 Not in universe, United-States, Native- Born in the United States,52
119,43, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,34940.04,4313.51 Not in universe, United-States, Native- Born in the United States,52
120,28, High school graduate, Never married, Female, Single,32633.52,4431.28 Not in universe, United-States, Native- Born in the United States,52
121,41, Some college but no degree, Never married, Male, Single,3537.96,353.80 Not in universe, United-States, Native- Born in the United States,52
122,37, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Female, Joint both under 65,13415.76,1341.58 Not in universe, United-States, Native- Born in the United States,40
123,28, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,21759.36,2336.40 Not in universe, United-States, Native- Born in the United States,52
124,18, 11th grade, Never married, Male, Single,26044.32,3442.90 Not in universe, United-States, Native- Born in the United States,50
125,60, High school graduate, Married-civilian spouse present, Male, Joint both under 65,29044.56,3429.18 Not in universe, United-States, Native- Born in the United States,0
126,49, High school graduate, Divorced, Female, Single,27303.72,3631.81 Not in universe, United-States, Native- Born in the United States,52
127,32, High school graduate, Married-civilian spouse present, Female, Joint both under 65,12332.16,1233.22 Not in universe, United-States, Native- Born in the United States,0
128,26, Associates degree-occup /vocational, Never married, Female, Single,22748.04,2948.46 Not in universe, United-States, Native- Born in the United States,52
129,72, Some college but no degree, Married-civilian spouse present, Male, Joint one under 65 & one 65+,12312.84,1231.28 Not in universe, United-States, Native- Born in the United States,40
130,22, Some college but no degree, Never married, Male, Single,23139.60,3007.19 Not in universe, Guatemala, Foreign born- Not a citizen of U S ,52
131,24, Associates degree-occup /vocational, Never married, Female, Single,26719.32,3544.15 Not in universe, United-States, Native- Born in the United States,52
132,81, High school graduate, Married-civilian spouse present, Female, Joint both 65+,12673.68,1267.37 Not in universe, United-States, Native- Born in the United States,0
133,16, 9th grade, Never married, Male, Nonfiler,24942.84,3277.68 Both parents present, United-States, Native- Born in the United States,1
134,28, Prof school degree (MD DDS DVM LLB JD), Never married, Male, Single,40746.96,5957.99 Not in universe, United-States, Native- Born in the United States,52
135,38, High school graduate, Married-civilian spouse present, Female, Joint both under 65,6196.68,619.67 Not in universe, Ecuador, Foreign born- Not a citizen of U S ,52
136,64, Associates degree-occup /vocational, Divorced, Male, Nonfiler,17727.60,2195.39 Not in universe, Germany, Foreign born- U S citizen by naturalization,0
137,37, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,41209.56,5253.93 Not in universe, United-States, Native- Born in the United States,52
138,43, High school graduate, Married-civilian spouse present, Female, Joint both under 65,19072.80,1933.42 Not in universe, United-States, Native- Born in the United States,52
139,46, High school graduate, Married-civilian spouse present, Female, Joint both under 65,23150.88,2545.13 Not in universe, United-States, Native- Born in the United States,52
140,34, High school graduate, Divorced, Female, Single,15950.64,1928.85 Not in universe, United-States, Native- Born in the United States,52
141,27, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,23671.44,2623.22 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
142,60, High school graduate, Married-civilian spouse present, Female, Joint both under 65,16477.80,1647.78 Not in universe, United-States, Native- Born in the United States,51
143,29, Some college but no degree, Never married, Male, Head of household,53502.36,7672.84 Not in universe, United-States, Native- Born in the United States,52
144,76, High school graduate, Widowed, Female, Single,12447.00,1403.30 Not in universe, United-States, Native- Born in the United States,0
145,73, Some college but no degree, Married-civilian spouse present, Male, Joint both 65+,35892.60,4456.39 Not in universe, United-States, Native- Born in the United States,0
146,50, 7th and 8th grade, Married-civilian spouse present, Female, Nonfiler,17103.12,2101.72 Not in universe, United-States, Native- Born in the United States,0
147,35, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,9898.92,989.89 Not in universe, United-States, Native- Born in the United States,52
148,44, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,19725.00,2031.25 Not in universe, United-States, Native- Born in the United States,52
149,33, High school graduate, Married-civilian spouse present, Female, Joint both under 65,3475.20,347.52 Not in universe, United-States, Native- Born in the United States,52
150,41, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,22299.12,2417.37 Not in universe, United-States, Native- Born in the United States,52
151,42, High school graduate, Married-civilian spouse present, Female, Joint both under 65,27390.84,3181.13 Not in universe, United-States, Native- Born in the United States,20
152,15, 11th grade, Never married, Female, Nonfiler,12942.12,1477.57 Both parents present, United-States, Native- Born in the United States,0
153,25, 1st 2nd 3rd or 4th grade, Never married, Female, Single,29120.88,3904.38 Not in universe, Mexico, Foreign born- Not a citizen of U S ,8
154,36, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Female, Joint both under 65,31890.96,3856.14 Not in universe, United-States, Native- Born in the United States,52
155,34, Associates degree-occup /vocational, Divorced, Male, Head of household,4610.40,461.04 Not in universe, United-States, Native- Born in the United States,52
156,41, Doctorate degree(PhD EdD), Never married, Male, Single,5444.16,544.42 Not in universe, United-States, Native- Born in the United States,52
157,43, High school graduate, Married-civilian spouse present, Male, Nonfiler,23882.88,3118.68 Not in universe, ?, Foreign born- Not a citizen of U S ,0
158,43, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,12068.28,1206.83 Not in universe, United-States, Native- Born in the United States,52
159,65, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both 65+,8440.32,844.03 Not in universe, United-States, Native- Born in the United States,52
160,31, High school graduate, Never married, Male, Single,29039.04,3892.11 Not in universe, United-States, Native- Born in the United States,52
161,43, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,36442.44,4538.87 Not in universe, United-States, Native- Born in the United States,52
162,47, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,29220.96,3455.64 Not in universe, Peru, Foreign born- U S citizen by naturalization,52
163,41, Some college but no degree, Never married, Female, Single,20445.36,2603.05 Not in universe, United-States, Native- Born in the United States,52
164,31, Bachelors degree(BA AB BS), Married-spouse absent, Female, Single,17328.12,2135.47 Not in universe, United-States, Native- Born in the United States,52
165,63, High school graduate, Widowed, Female, Single,5865.36,586.54 Not in universe, United-States, Native- Born in the United States,52
166,22, Some college but no degree, Never married, Male, Single,25535.04,3366.51 Not in universe, United-States, Native- Born in the United States,39
167,15, 7th and 8th grade, Never married, Male, Nonfiler,23191.92,3015.04 Both parents present, United-States, Native- Born in the United States,0
168,39, 11th grade, Never married, Female, Nonfiler,23212.08,3018.06 Not in universe, United-States, Native- Born in the United States,0
169,32, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,20283.60,2115.04 Not in universe, United-States, Native- Born in the United States,52
170,34, High school graduate, Married-civilian spouse present, Male, Joint both under 65,4665.60,466.56 Not in universe, United-States, Native- Born in the United States,52
171,16, 9th grade, Never married, Female, Single,12292.08,1380.06 Both parents present, United-States, Native- Born in the United States,13
172,46, 7th and 8th grade, Married-civilian spouse present, Male, Joint both under 65,9568.20,956.82 Not in universe, Outlying-U S (Guam USVI etc), Native- Born in Puerto Rico or U S Outlying,52
173,18, Some college but no degree, Never married, Female, Nonfiler,9219.00,921.90 Not in universe, United-States, Native- Born in the United States,0
174,70, High school graduate, Widowed, Female, Single,10409.76,1097.71 Not in universe, United-States, Native- Born in the United States,52
175,35, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,4302.60,430.26 Not in universe, United-States, Native- Born in the United States,52
176,27, High school graduate, Divorced, Female, Head of household,12901.20,1290.12 Not in universe, United-States, Native- Born in the United States,16
177,57, 1st 2nd 3rd or 4th grade, Never married, Female, Nonfiler,9556.92,969.79 Not in universe, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0
178,42, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,15787.32,1578.73 Not in universe, United-States, Native- Born in the United States,0
179,38, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,6145.80,614.58 Not in universe, United-States, Native- Born in the United States,52
180,26, 7th and 8th grade, Married-civilian spouse present, Male, Joint both under 65,7268.76,726.88 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
181,31, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,30370.80,3628.12 Not in universe, United-States, Native- Born in the United States,52
182,18, 11th grade, Never married, Male, Nonfiler,22815.24,2958.54 Not in universe, United-States, Native- Born in the United States,0
183,62, High school graduate, Married-civilian spouse present, Male, Joint both under 65,47493.96,6196.59 Not in universe, United-States, Native- Born in the United States,52
184,22, Some college but no degree, Never married, Female, Single,23967.48,3131.37 Not in universe, United-States, Native- Born in the United States,52
185,67, Some college but no degree, Divorced, Female, Single,23663.64,3085.80 Not in universe, United-States, Native- Born in the United States,52
186,26, High school graduate, Married-civilian spouse present, Female, Joint both under 65,5813.16,581.32 Not in universe, United-States, Native- Born in the United States,52
187,70, High school graduate, Married-civilian spouse present, Female, Joint both 65+,12482.16,1248.22 Not in universe, United-States, Native- Born in the United States,0
188,27, 12th grade no diploma, Married-civilian spouse present, Male, Joint both under 65,11303.16,1130.32 Not in universe, United-States, Native- Born in the United States,52
189,45, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,21092.04,2236.31 Not in universe, United-States, Native- Born in the United States,52
190,23, 10th grade, Married-civilian spouse present, Female, Joint both under 65,27888.96,3255.84 Not in universe, United-States, Native- Born in the United States,26
191,42, Some college but no degree, Never married, Male, Single,64014.00,11774.75 Not in universe, United-States, Native- Born in the United States,52
192,48, High school graduate, Married-civilian spouse present, Female, Joint both under 65,18177.84,1817.78 Not in universe, United-States, Native- Born in the United States,52
193,26, High school graduate, Married-civilian spouse present, Female, Joint both under 65,24394.20,2731.63 Not in universe, United-States, Native- Born in the United States,26
194,32, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,20452.20,2140.33 Not in universe, United-States, Native- Born in the United States,52
195,78, High school graduate, Married-civilian spouse present, Male, Joint both 65+,16986.72,1698.67 Not in universe, Italy, Foreign born- U S citizen by naturalization,0
196,20, High school graduate, Never married, Male, Single,51698.64,8695.91 Not in universe, United-States, Native- Born in the United States,40
197,39, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,14566.20,1456.62 Not in universe, United-States, Native- Born in the United States,52
198,26, Bachelors degree(BA AB BS), Never married, Male, Single,20695.68,2640.60 Not in universe, United-States, Native- Born in the United States,52
199,30, Associates degree-occup /vocational, Divorced, Female, Nonfiler,32068.44,4346.52 Not in universe, United-States, Native- Born in the United States,0
200,15, 9th grade, Never married, Female, Nonfiler,17928.48,2225.52 Both parents present, United-States, Native- Born in the United States,0
201,28, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,10924.44,1092.44 Not in universe, United-States, Native- Born in the United States,40
202,37, High school graduate, Married-civilian spouse present, Male, Joint both under 65,7401.84,740.18 Not in universe, United-States, Native- Born in the United States,52
203,57, 10th grade, Married-civilian spouse present, Female, Joint both under 65,39679.32,5024.40 Not in universe, United-States, Native- Born in the United States,4
204,42, High school graduate, Married-civilian spouse present, Male, Joint both under 65,28964.88,3417.23 Not in universe, United-States, Native- Born in the United States,52
205,27, High school graduate, Married-civilian spouse present, Male, Joint both under 65,23561.04,2606.66 Not in universe, Germany, Native- Born abroad of American Parent(s),52
206,21, Some college but no degree, Never married, Male, Single,26926.56,3575.23 Not in universe, United-States, Native- Born in the United States,38
207,45, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,15601.56,1560.16 Not in universe, Philippines, Foreign born- U S citizen by naturalization,34
208,25, Bachelors degree(BA AB BS), Never married, Female, Single,11793.24,1305.24 Not in universe, United-States, Native- Born in the United States,52
209,25, Some college but no degree, Never married, Male, Single,32292.24,4380.09 Not in universe, United-States, Native- Born in the United States,52
210,90, 1st 2nd 3rd or 4th grade, Widowed, Female, Single,20371.20,2591.93 Not in universe, United-States, Native- Born in the United States,40
211,48, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,17212.68,1721.27 Not in universe, United-States, Native- Born in the United States,52
212,22, Some college but no degree, Never married, Male, Single,24923.52,3274.78 Not in universe, United-States, Native- Born in the United States,52
213,59, High school graduate, Married-civilian spouse present, Male, Joint both under 65,24878.52,2804.28 Not in universe, United-States, Native- Born in the United States,52
214,39, High school graduate, Married-civilian spouse present, Female, Joint both under 65,20661.96,2171.79 Not in universe, United-States, Native- Born in the United States,26
215,30, Some college but no degree, Separated, Female, Head of household,18896.76,2172.01 Not in universe, United-States, Native- Born in the United States,52
216,31, Some college but no degree, Divorced, Female, Head of household,46027.08,6241.56 Not in universe, United-States, Native- Born in the United States,52
217,23, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,34243.56,4209.03 Not in universe, Vietnam, Foreign born- Not a citizen of U S ,52
